sep=,
DeviceTag:,Dot6_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-11-17_10:16:38_930 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
138,1006505609,0.145618,-7.398556,3.803204,17.850182,1.022761,1.396745,0.390967,-0.278448,0.473157,-0.738738,
139,1006522276,0.321109,-7.723141,4.339987,9.474967,1.615438,2.459313,0.391603,-0.277420,0.472397,-0.739275,
140,1006538943,0.845859,-7.910458,3.966938,0.859851,2.495977,3.048571,0.391895,-0.276744,0.472629,-0.739224,
141,1006555610,1.037705,-7.854330,3.128489,-7.867201,5.496251,5.608895,0.391903,-0.276070,0.474068,-0.738551,
142,1006572277,0.783585,-8.309527,2.720326,-14.855553,9.489844,9.455537,0.391762,-0.275105,0.476634,-0.737333,
143,1006588944,0.515931,-8.343731,2.251767,-31.096909,13.722523,13.926439,0.391145,-0.274305,0.481357,-0.734886,
144,1006605611,0.339310,-7.619643,2.034984,-44.302261,15.940089,19.875566,0.390462,-0.273599,0.487840,-0.731229,
145,1006622278,-0.583313,-6.845428,-0.899435,-54.170525,19.116301,27.235987,0.389913,-0.272579,0.495817,-0.726522,
146,1006638945,-1.339533,-5.914845,-3.898898,-58.043358,25.933926,35.908466,0.389590,-0.270416,0.504908,-0.721223,
147,1006655612,-2.196411,-5.845807,-6.254749,-62.369915,36.298973,44.917610,0.389218,-0.266723,0.515370,-0.715375,
148,1006672279,-3.134137,-5.802449,-6.757259,-68.819809,49.281017,54.216965,0.388503,-0.261312,0.527562,-0.708844,
149,1006688946,-3.913410,-5.691106,-5.390626,-64.715477,57.428711,63.847858,0.388208,-0.254036,0.540097,-0.702179,
150,1006705613,-4.154445,-5.788521,-4.641721,-66.529663,62.865459,72.996552,0.388237,-0.245515,0.553369,-0.694822,
151,1006722280,-4.706480,-6.046525,-5.904583,-70.431076,69.698013,82.536179,0.388404,-0.235665,0.567628,-0.686588,
152,1006738947,-5.619091,-8.023529,-6.603030,-78.099289,79.947861,90.573196,0.388094,-0.224458,0.583333,-0.677292,
153,1006755614,-6.309310,-9.125491,-5.727396,-82.738510,91.482285,97.608116,0.387136,-0.211657,0.600149,-0.667194,
154,1006772281,-7.079215,-11.265177,-2.856186,-74.496597,95.168198,100.558006,0.386170,-0.197646,0.616195,-0.657353,
155,1006788948,-7.047683,-11.816275,0.266645,-73.231369,91.540733,101.187729,0.385408,-0.183726,0.631640,-0.647099,
156,1006805615,-5.408449,-11.654429,-2.427955,-70.242950,87.947685,101.217827,0.384857,-0.169851,0.646287,-0.636670,
157,1006822282,-5.724998,-16.601923,1.069261,-95.196999,90.525993,100.860214,0.383182,-0.157065,0.663041,-0.623601,
158,1006838949,-3.019119,-12.215317,-0.400585,-80.467888,82.306648,97.706268,0.382124,-0.144417,0.677554,-0.611593,
159,1006855616,-3.941715,-17.232885,-3.587069,-108.535072,82.930351,91.003609,0.379587,-0.133861,0.694077,-0.596868,
160,1006872283,-4.545842,-5.313746,-2.364826,-100.715210,84.382996,94.583961,0.377106,-0.122327,0.709674,-0.582401,
161,1006888950,-7.342217,-10.621367,-3.527566,-83.834549,84.876846,95.710396,0.374752,-0.109627,0.723502,-0.569288,
162,1006905617,-9.605597,-3.401749,0.668536,-97.674553,85.635567,101.019905,0.372316,-0.096984,0.738204,-0.554103,
163,1006922284,-10.805766,-9.687791,-0.729784,-92.681534,81.407806,107.243309,0.370712,-0.083633,0.751908,-0.538714,
164,1006938951,-9.733115,-7.341078,-2.499810,-102.828323,79.759552,108.650284,0.369066,-0.070718,0.765856,-0.521780,
165,1006955618,-7.200652,-12.341927,-8.215898,-104.082794,77.208069,109.001518,0.367495,-0.057949,0.779271,-0.504308,
166,1006972285,-7.815154,-13.340086,-3.638767,-100.310310,81.672241,104.073830,0.364826,-0.045174,0.792133,-0.487224,
167,1006988952,-5.815488,-8.583620,-8.528789,-72.589188,74.327423,100.762794,0.362740,-0.031810,0.802176,-0.473204,
168,1007005619,-8.017186,-10.171362,-8.378493,-88.780518,85.112007,96.334343,0.358797,-0.019060,0.813489,-0.457314,
169,1007022286,-8.740321,-5.680563,-5.520404,-116.203636,90.644753,104.782524,0.354433,-0.006358,0.826426,-0.437443,
170,1007038953,-9.606836,-10.490681,-4.681306,-139.468857,92.596909,104.845940,0.349536,0.005301,0.840277,-0.414405,
171,1007055620,-10.074675,-5.399768,-5.031498,-162.489166,92.889000,107.929153,0.344480,0.016183,0.854705,-0.388010,
172,1007072287,-10.816957,-5.302051,-4.742395,-163.860596,87.236198,110.710045,0.339949,0.027029,0.868016,-0.360904,
173,1007088954,-12.539570,1.871723,-6.410304,-175.701508,83.618950,114.670433,0.335788,0.037591,0.880791,-0.331723,
174,1007105621,-10.392657,2.329469,-6.306032,-194.504761,82.813210,129.799240,0.332187,0.049138,0.893238,-0.298936,
175,1007122288,-12.158635,-0.592546,-1.266943,-205.508926,76.412292,133.149551,0.329211,0.060279,0.904555,-0.264133,
176,1007138955,-12.624926,3.479416,-0.351279,-258.789581,63.066971,143.943436,0.328369,0.069697,0.915571,-0.221464,
177,1007155622,-12.033658,-2.772568,-1.682423,-264.507660,48.518375,147.852066,0.329063,0.078786,0.924120,-0.177517,
178,1007172289,-10.422229,-5.532887,1.614098,-232.767654,29.529814,149.177582,0.331425,0.088937,0.929136,-0.137674,
179,1007188956,-10.576797,-14.958042,4.693066,-187.989655,3.941473,135.967072,0.335983,0.098804,0.930801,-0.104700,
180,1007205623,-9.723475,-14.798436,2.436219,-122.404549,-16.915695,120.116257,0.341930,0.109267,0.929767,-0.081714,
181,1007222290,-7.897678,-20.067636,-0.301949,-71.824776,-31.984144,101.230461,0.348751,0.119402,0.927173,-0.066831,
182,1007238957,-8.313448,-22.998869,1.433448,-61.821949,-41.038116,76.326706,0.356279,0.126483,0.924152,-0.054858,
183,1007255624,-7.506951,-24.475523,0.669506,-43.833572,-55.123417,48.455898,0.365095,0.130520,0.920568,-0.047179,
184,1007272291,-7.205274,-18.657618,1.121954,-29.406464,-60.195290,22.753620,0.374101,0.131731,0.916974,-0.043076,
