PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
88;3356078309;-7.517058;-1.102883;-5.650351;6.314089;-1.702630;-0.551608;0.445249;0.009713;0.892694;-0.068970
89;3356094976;-7.530529;-1.311817;-5.700599;5.985592;-1.472551;-1.027236;0.445515;0.009943;0.892491;-0.069838
90;3356111643;-7.680241;-0.464253;-5.716830;8.215858;-1.612986;-0.463820;0.445799;0.010387;0.892255;-0.070962
91;3356128310;-7.425218;-1.066822;-5.632423;5.633302;-1.298397;-0.261570;0.446047;0.010698;0.892066;-0.071729
92;3356144977;-7.499386;-0.706387;-5.504165;5.284393;-1.562874;0.421963;0.446335;0.011072;0.891863;-0.072407
93;3356161644;-7.662187;-1.076722;-5.725753;3.528566;-1.481259;0.383032;0.446613;0.011330;0.891684;-0.072856
94;3356178311;-7.981452;-0.804065;-5.914154;0.264393;-1.199059;0.905313;0.446865;0.011447;0.891557;-0.072845
95;3356194978;-8.039911;-0.825206;-6.025189;-1.182154;-0.836216;0.863462;0.447070;0.011470;0.891470;-0.072646
96;3356211645;-7.838632;-0.744984;-5.856506;-6.938161;-0.445763;1.443449;0.447239;0.011199;0.891469;-0.071658
97;3356228312;-7.777301;-0.857568;-5.859626;-8.877326;-0.463692;1.146367;0.447408;0.010766;0.891487;-0.070433
98;3356244979;-7.959576;-0.729333;-5.800020;-6.180627;-1.297399;1.233194;0.447680;0.010512;0.891423;-0.069552
99;3356261646;-8.152922;-0.680522;-6.135722;-0.116551;-1.600409;1.091312;0.447981;0.010633;0.891277;-0.069462
100;3356278313;-7.961080;-0.987262;-6.026915;5.224485;-2.329603;1.284765;0.448368;0.011123;0.891031;-0.070049
101;3356294980;-7.789342;-1.417776;-5.948798;9.512078;-2.343358;0.766377;0.448741;0.011824;0.890741;-0.071223
102;3356311647;-7.649686;-1.719223;-6.227553;8.674031;-2.212567;0.372005;0.449092;0.012420;0.890468;-0.072318
103;3356328314;-7.609159;-1.534866;-6.033948;8.798548;-1.660497;-0.651895;0.449353;0.012894;0.890233;-0.073501
104;3356344981;-7.827302;-1.737102;-5.897152;10.702330;-2.137957;-1.164136;0.449660;0.013418;0.889947;-0.074968
105;3356361648;-8.093620;-1.148418;-6.032644;17.761919;-2.521381;-1.720279;0.449993;0.014325;0.889557;-0.077392
106;3356378315;-8.322599;-0.986907;-5.951824;30.073597;-3.175088;-1.244410;0.450383;0.016093;0.888974;-0.081376
107;3356394982;-8.472294;-1.362186;-5.826396;36.886517;-3.629042;-1.096920;0.450807;0.018322;0.888258;-0.086229
108;3356411649;-9.071611;-1.983248;-5.703974;37.849453;-3.936256;-1.615939;0.451249;0.020542;0.887484;-0.091237
109;3356428316;-10.047074;-2.670427;-4.342925;38.893490;-5.297440;-3.090971;0.451836;0.022620;0.886580;-0.096485
110;3356444983;-10.724420;-3.472293;-1.409900;33.777641;-9.394984;-5.604711;0.452939;0.023976;0.885448;-0.101261
111;3356461650;-11.044844;-3.817170;2.571735;19.573488;-17.162783;-10.245107;0.455059;0.023675;0.883984;-0.104562
112;3356478317;-10.579172;-3.750238;5.019581;16.449167;-30.420200;-15.325294;0.458882;0.022304;0.881642;-0.107875
113;3356494984;-7.611436;-0.520579;-2.521106;12.969842;-31.609251;-16.165102;0.462929;0.020565;0.879198;-0.110836
114;3356511651;-6.581076;-4.034808;-3.809126;12.094934;-35.269299;-17.485167;0.467426;0.018544;0.876484;-0.113776
115;3356528318;-7.334107;-5.716619;-5.441907;2.542825;-34.741318;-20.700891;0.471807;0.015460;0.873936;-0.115735
116;3356544985;-7.737384;-8.543982;-9.072215;-14.626642;-32.969151;-26.032965;0.475876;0.010528;0.871778;-0.115905
117;3356561652;-7.442708;-11.535785;-9.664711;-36.735931;-30.194897;-33.859875;0.479422;0.003084;0.870162;-0.113857
118;3356578319;-7.766676;-10.907605;-8.535471;-46.056339;-26.778004;-41.008709;0.482324;-0.005908;0.868887;-0.111193
119;3356594986;-8.431378;-8.893252;-7.279062;-62.620712;-22.175505;-48.568817;0.484403;-0.016987;0.868107;-0.107030
120;3356611653;-8.493313;-8.014066;-7.281390;-58.342266;-19.894085;-54.209408;0.486013;-0.028474;0.867292;-0.103850
121;3356628320;-8.567471;-4.920177;-5.947972;-39.404083;-20.035616;-59.224865;0.487548;-0.039281;0.866056;-0.103443
122;3356644987;-7.947824;-2.372169;-4.220274;-11.648705;-22.141592;-65.676216;0.489337;-0.048972;0.864121;-0.106985
123;3356661654;-7.418306;3.528004;-1.752718;12.027364;-28.284346;-65.390877;0.492013;-0.057032;0.861282;-0.113422
124;3356678321;-8.484128;2.549025;-1.500487;41.651192;-35.257847;-64.973152;0.495767;-0.062997;0.857330;-0.123417
125;3356694988;-9.024673;3.577394;-1.492932;29.420483;-39.259510;-63.776878;0.499880;-0.069731;0.853178;-0.131702
126;3356711655;-8.484896;3.940952;-2.281061;-3.253592;-42.015301;-60.436665;0.504028;-0.078435;0.849363;-0.135592
127;3356728322;-9.298252;5.663593;1.562542;-5.910985;-44.707546;-57.861813;0.508488;-0.087025;0.845330;-0.138864
128;3356744989;-9.995537;3.769168;0.236672;-13.775159;-49.541348;-48.209087;0.513631;-0.095051;0.841107;-0.140315
129;3356761656;-8.543892;3.890600;3.334111;22.547554;-52.020042;-41.929695;0.519693;-0.099596;0.835936;-0.145641
130;3356778323;-6.968199;3.160536;1.786838;16.849043;-54.593475;-29.863960;0.526246;-0.103109;0.830755;-0.149268
131;3356794990;-6.639672;0.125845;1.251235;-11.476736;-51.658524;-22.254675;0.532178;-0.107767;0.826441;-0.148886
132;3356811657;-8.157702;-4.208711;-1.422522;-61.502739;-47.873573;-20.442949;0.536884;-0.115974;0.823427;-0.142385
133;3356828324;-9.836677;-6.595053;-3.943122;-81.575043;-44.598618;-20.718111;0.540775;-0.125703;0.820930;-0.133549
134;3356844991;-10.444097;-9.597597;-5.778461;-91.048134;-43.484108;-25.227203;0.544154;-0.136688;0.818442;-0.123956
135;3356861658;-11.458190;-6.834506;-5.410643;-73.123322;-43.964367;-28.902674;0.547753;-0.146707;0.815354;-0.116798
136;3356878325;-11.678905;-7.103050;-4.875978;-32.827168;-45.687576;-33.691689;0.552252;-0.154108;0.811232;-0.114768
137;3356894992;-11.553895;-2.454209;-2.150662;-44.507683;-47.921642;-35.771675;0.556652;-0.162728;0.806988;-0.111485
