PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
111;2739176024;-6.894346;-8.139859;-0.101001;4.320203;-0.639178;-2.487608;0.663005;-0.263986;0.627293;-0.311834
112;2739192691;-6.988025;-7.194664;0.175379;0.741661;0.454184;-2.746386;0.662699;-0.264276;0.627337;-0.312149
113;2739209358;-6.891580;-7.095570;0.678621;-5.462305;0.169947;-1.958104;0.662216;-0.265103;0.627668;-0.311808
114;2739226025;-6.884561;-7.038818;0.435468;-10.568878;0.390190;-2.253547;0.661503;-0.266434;0.628240;-0.311034
115;2739242692;-6.688437;-6.480187;0.235852;-8.280408;0.071453;-1.601357;0.660938;-0.267495;0.628701;-0.310391
116;2739259359;-6.404086;-6.482373;-0.192327;-6.782154;-0.885124;-0.201085;0.660582;-0.268323;0.629060;-0.309707
117;2739276026;-6.428824;-6.463421;-1.108460;-5.206050;-0.274888;0.895004;0.660279;-0.268869;0.629453;-0.309080
118;2739292693;-6.752653;-6.778856;-1.164029;-9.274707;2.123633;1.367558;0.659609;-0.269655;0.630289;-0.308121
119;2739309360;-7.054637;-6.672849;-0.608894;-9.066951;3.116472;2.095203;0.658879;-0.270311;0.631249;-0.307142
120;2739326027;-7.001501;-7.130380;-0.139211;1.264198;1.639142;2.638255;0.658711;-0.269989;0.631635;-0.306993
121;2739342694;-6.924055;-7.060649;-0.276084;9.286533;0.472446;2.683911;0.658965;-0.268944;0.631556;-0.307527
122;2739359361;-6.638923;-7.038222;0.214682;6.214980;0.831907;2.596238;0.659058;-0.268185;0.631650;-0.307797
123;2739376028;-6.820910;-7.164010;0.336602;-5.555779;1.451209;2.029403;0.658610;-0.268577;0.632308;-0.307063
124;2739392695;-6.970558;-7.551864;0.097575;-14.486053;2.193313;1.611840;0.657725;-0.269826;0.633417;-0.305573
125;2739409362;-6.738040;-7.406330;-0.226093;-9.752256;1.736625;0.840372;0.657031;-0.270712;0.634241;-0.304573
126;2739426029;-6.476536;-6.628471;-0.698436;3.354233;0.606105;0.912472;0.656956;-0.270390;0.634381;-0.304729
127;2739442696;-6.683773;-6.543422;-0.983933;4.996981;1.110829;1.646378;0.656927;-0.269821;0.634532;-0.304982
128;2739459363;-6.735739;-6.589808;-0.528609;-1.661214;3.052656;1.583653;0.656448;-0.269808;0.635170;-0.304696
129;2739476030;-6.611727;-6.651567;0.323983;-8.288420;3.799210;2.064986;0.655658;-0.270348;0.636196;-0.303775
130;2739492697;-6.887721;-7.424026;0.838281;-10.666706;3.376364;2.333542;0.654826;-0.271104;0.637296;-0.302589
131;2739509364;-6.876307;-7.637173;0.830961;3.165647;0.837695;1.559833;0.654744;-0.270723;0.637508;-0.302660
132;2739526031;-7.099610;-7.302388;0.432047;10.653280;-0.917639;1.326284;0.655113;-0.269727;0.637209;-0.303380
133;2739542698;-7.345627;-7.313088;0.518529;8.195062;-1.109683;0.904199;0.655387;-0.269009;0.636982;-0.303905
