sep=,
DeviceTag:,Dot2_blanc
FirmwareVersion:,2.4.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-11-17_10:45:32_044 CET
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
125,2723380816,-6.434306,-7.810827,-0.664224,-1.848546,2.271674,4.139800,0.216022,0.261176,0.672212,-0.658228,
126,2723397483,-6.414032,-7.456958,-0.764191,7.583928,2.689058,4.359058,0.215779,0.262062,0.671386,-0.658799,
127,2723414150,-6.098753,-7.325486,-0.423218,6.558536,2.120892,4.294655,0.215624,0.262854,0.670641,-0.659292,
128,2723430817,-6.254689,-7.085891,0.188382,-4.688175,2.016059,4.468181,0.215926,0.263301,0.670964,-0.658686,
129,2723447484,-6.401248,-6.958132,0.224501,-15.148260,1.683210,3.990661,0.216615,0.263340,0.672295,-0.657085,
130,2723464151,-6.218824,-7.207628,-0.217466,-12.208288,1.946150,3.672665,0.217134,0.263464,0.673362,-0.655769,
131,2723480818,-5.999740,-7.243184,-0.543715,1.308905,2.180762,3.052644,0.217053,0.263977,0.673171,-0.655787,
132,2723497485,-6.125200,-7.772189,0.055864,4.633280,2.688111,3.431481,0.216831,0.264680,0.672663,-0.656098,
133,2723514152,-6.299259,-7.346602,0.370041,-1.981424,3.075618,4.166066,0.216895,0.265283,0.672770,-0.655723,
134,2723530819,-6.058484,-7.340038,0.510016,-9.080396,3.402283,4.000968,0.217185,0.265677,0.673570,-0.654646,
135,2723547486,-6.302446,-7.265542,-0.310386,-12.908541,3.744432,3.970042,0.217586,0.265978,0.674744,-0.653180,
136,2723564153,-6.259538,-7.054662,-1.715923,0.076435,2.407613,3.377527,0.217560,0.266505,0.674663,-0.653057,
137,2723580820,-6.495007,-7.479467,-1.045704,9.190383,1.486312,2.702045,0.217206,0.267166,0.673714,-0.653885,
138,2723597487,-6.771391,-7.245885,-0.795841,7.885594,0.754787,2.791688,0.216982,0.267724,0.672861,-0.654608,
139,2723614154,-6.909867,-7.459899,-0.489659,-0.241105,-0.684320,2.511536,0.217189,0.267862,0.672746,-0.654601,
140,2723630821,-6.626921,-6.976285,-0.399009,-3.126453,-1.496179,2.140127,0.217553,0.267795,0.672895,-0.654355,
141,2723647488,-6.362043,-6.852345,-0.071091,1.492177,-0.879194,0.159356,0.217488,0.267739,0.672701,-0.654599,
142,2723664155,-6.092074,-7.385529,-0.088136,1.649810,-0.651702,-0.538097,0.217328,0.267642,0.672526,-0.654872,
143,2723680822,-5.999452,-6.794749,-0.437037,-1.091216,-0.697050,-1.400067,0.217197,0.267369,0.672643,-0.654905,
144,2723697489,-6.085505,-7.439338,-0.383442,-3.928105,-1.005683,-2.382865,0.217113,0.266881,0.673060,-0.654704,
145,2723714156,-6.308070,-7.259598,0.108600,-6.334483,-1.143518,-2.419863,0.217133,0.266300,0.673702,-0.654274,
146,2723730823,-6.450867,-7.648545,0.240992,-5.406252,-0.918907,-2.693291,0.217068,0.265743,0.674273,-0.653934,
147,2723747490,-6.696583,-7.697875,-0.399976,3.052849,-0.426503,-2.367830,0.216658,0.265531,0.674042,-0.654394,
148,2723764157,-6.601392,-8.187857,-0.727992,5.627668,-0.930164,-1.746940,0.216258,0.265414,0.673525,-0.655106,
149,2723780824,-6.510119,-7.673378,-1.212892,3.387734,-1.153711,-0.965291,0.216041,0.265281,0.673184,-0.655582,
150,2723797491,-6.741493,-7.634094,-1.005445,4.014797,-1.733071,-0.981338,0.215854,0.265110,0.672765,-0.656141,
151,2723814158,-6.677994,-7.840816,-0.415472,12.093060,-1.548724,-1.040760,0.215332,0.265205,0.671583,-0.657485,
152,2723830825,-6.161902,-7.949167,0.578985,14.035403,-1.363634,-0.457469,0.214771,0.265434,0.670195,-0.658990,
153,2723847492,-5.781544,-7.729856,0.916469,6.675433,-0.563313,-0.135273,0.214447,0.265541,0.669523,-0.659735,
154,2723864159,-5.781035,-8.320771,0.693771,0.433719,0.435640,0.633549,0.214341,0.265623,0.669451,-0.659809,
155,2723880826,-6.008661,-8.626039,-0.003763,-3.517648,0.528704,1.827088,0.214492,0.265707,0.669715,-0.659459,
156,2723897493,-5.942115,-9.404525,0.052548,1.957893,0.860747,3.241781,0.214535,0.266131,0.669409,-0.659584,
157,2723914160,-5.932516,-9.989676,0.411178,5.428260,1.321430,5.227418,0.214589,0.266900,0.668707,-0.659968,
