PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
176;991112838;-0.857388;-5.526235;0.359260;-172.960907;77.159348;119.558640;-0.198953;0.765832;0.388814;-0.471959
177;991129505;-1.403573;-6.172063;-3.074851;-171.928925;76.813705;124.659081;-0.175690;0.782624;0.384409;-0.457019
178;991146172;-2.907672;-8.973516;-0.270372;-188.644058;74.269745;135.318497;-0.149471;0.799367;0.379521;-0.441176
179;991162839;-0.811635;-2.372909;-9.875849;-202.849716;58.207905;137.134995;-0.120408;0.814464;0.375195;-0.425891
180;991179506;-1.262279;-5.904086;-2.195564;-218.470703;51.880169;148.814270;-0.088251;0.828925;0.370030;-0.410093
181;991196173;-2.040751;-4.565196;-7.672164;-271.435394;39.241585;154.217377;-0.048553;0.842111;0.366871;-0.392301
182;991212840;-1.038889;0.206759;-14.554518;-265.553925;16.130875;157.393127;-0.008061;0.852393;0.362400;-0.376869
183;991229507;0.095583;6.748868;-10.705243;-230.703598;-3.468307;149.530975;0.028736;0.859623;0.356366;-0.365005
184;991246174;-0.944437;6.679445;-13.361754;-179.774887;-17.738640;140.115631;0.059378;0.864675;0.348267;-0.357106
185;991262841;-2.087441;13.268412;-13.019393;-114.788734;-33.229401;120.647728;0.081583;0.867770;0.338810;-0.354302
186;991279508;-1.577413;12.933358;-13.593756;-65.212212;-45.750889;99.731621;0.097044;0.869376;0.329125;-0.355594
187;991296175;-3.292988;18.245794;-8.063712;-56.788387;-53.093983;75.766617;0.110535;0.869325;0.321832;-0.358444
188;991312842;-3.894618;19.199932;-13.838428;-37.870384;-57.264576;46.727261;0.120308;0.867838;0.317090;-0.363099
189;991329509;-4.203835;19.044758;-11.940559;-22.944452;-69.708534;20.140400;0.127364;0.864618;0.314650;-0.370422
190;991346176;-3.294697;13.669610;-10.507775;1.455952;-76.076370;-5.670908;0.130249;0.860224;0.313981;-0.380090
191;991362843;-3.072566;12.208502;-11.447028;32.811668;-86.673874;-19.800526;0.128901;0.855063;0.313092;-0.392718
192;991379510;-2.412738;12.477859;-8.348884;41.767799;-99.092758;-39.390301;0.125862;0.848271;0.313821;-0.407570
193;991396177;-0.492299;8.440578;-6.074710;43.346626;-107.890457;-52.483044;0.122220;0.840129;0.315809;-0.423690
194;991412844;2.421122;7.864222;-3.500691;40.632637;-113.983910;-66.511169;0.118283;0.830606;0.319452;-0.440518
195;991429511;4.530565;-2.037597;3.902057;15.502687;-112.970901;-73.595154;0.116835;0.820060;0.325446;-0.456003
196;991446178;2.483814;-4.175608;8.729957;-13.101922;-101.732201;-76.661499;0.118019;0.809323;0.333778;-0.468683
197;991462845;-1.597227;-2.417634;3.119049;-33.612381;-87.481476;-77.492340;0.120827;0.798894;0.343739;-0.478556
198;991479512;-6.035436;-3.493231;10.367023;-49.537148;-69.806534;-80.629944;0.124346;0.789012;0.355380;-0.485495
199;991496179;-11.015700;-1.559883;-0.361974;-93.067200;-61.855724;-84.791306;0.132109;0.778405;0.370587;-0.489183
200;991512846;-12.601068;1.927190;-4.862309;-76.713135;-60.767170;-85.007027;0.137898;0.767873;0.384533;-0.493450
201;991529513;-11.229786;0.854563;-1.032265;-73.881706;-53.489799;-86.583771;0.142802;0.757565;0.398460;-0.496925
202;991546180;-10.045914;-4.734685;-8.196762;-41.286293;-53.151924;-84.555763;0.144204;0.747851;0.409701;-0.502067
203;991562847;-10.772749;-2.227640;-4.917682;-11.175654;-54.211025;-78.055435;0.142832;0.738913;0.417922;-0.508872
204;991579514;-10.773288;-3.559626;-3.484154;10.344704;-46.690552;-75.622009;0.138844;0.730989;0.424368;-0.516034
205;991596181;-11.559850;-5.012214;-3.810294;-2.718893;-49.970890;-66.864906;0.137080;0.722979;0.430728;-0.522481
206;991612848;-12.425440;-2.931001;-2.181322;-18.698339;-53.315613;-62.393471;0.137524;0.714564;0.437703;-0.528113
207;991629515;-7.933277;0.975665;-8.281159;-36.016651;-57.089577;-64.199951;0.139845;0.705278;0.446045;-0.532985
208;991646182;-6.015026;-1.807995;-4.224214;-36.159645;-63.121407;-64.100296;0.142554;0.695392;0.454181;-0.538359
209;991662849;-6.063338;-1.853417;-3.092327;-46.072029;-64.639114;-66.319824;0.146161;0.684886;0.463189;-0.543163
210;991679516;-5.144426;1.502864;-4.171616;-8.698044;-63.937134;-72.864807;0.145447;0.674643;0.469810;-0.550439
211;991696183;-5.486104;-0.073393;-3.515867;-7.156783;-64.301254;-75.608009;0.144358;0.664077;0.476472;-0.557799
212;991712850;-6.778239;-1.120067;-1.006540;-19.532112;-65.728004;-77.604286;0.144369;0.652850;0.484197;-0.564358
213;991729517;-6.729861;-3.119544;0.162719;-9.492730;-61.232693;-80.208588;0.142864;0.641873;0.491331;-0.571127
214;991746184;-7.361365;-3.366704;-1.417129;-7.300941;-61.048279;-79.247322;0.141189;0.630886;0.498087;-0.577893
215;991762851;-8.523439;-3.477079;0.893192;-21.592972;-61.917419;-81.073914;0.140703;0.619257;0.506085;-0.583613
216;991779518;-7.163212;-2.444629;-1.091539;-23.600357;-55.686207;-83.914001;0.139665;0.607763;0.514519;-0.588550
217;991796185;-6.679620;-5.432694;-2.603973;-7.537199;-58.218929;-86.617943;0.137132;0.596036;0.521645;-0.594832
218;991812852;-7.432856;-3.145794;1.999571;-39.080402;-54.083672;-82.167152;0.137372;0.584233;0.531075;-0.598134
219;991829519;-6.921253;-2.809280;-4.645241;-32.301910;-46.934425;-83.878746;0.136303;0.572919;0.540080;-0.601250
220;991846186;-6.738935;-4.127854;-2.815700;-20.680582;-48.533615;-85.292717;0.134237;0.561461;0.548038;-0.605309
221;991862853;-7.316741;-2.981435;-6.081783;-5.135306;-52.031864;-92.290497;0.130533;0.549313;0.555006;-0.610891
222;991879520;-6.273211;-2.571923;-1.869215;-12.995453;-55.148365;-95.783073;0.127365;0.536318;0.562753;-0.615998
